id;product_category_enum;name;quantity;price_net;vat;price_gross;stock;description;create_time;update_time;image;image_content_type
1;Vitamins;Vitamin D Now Foods;1;100;23;123;74;../fake-data/blob/hipster.txt;2021-10-12T01:59:50;2021-10-11T20:16:14;../fake-data/blob/hipster.png;image/png
2;Minerals;Multi Mineral Swanson;1;2.6;23;3.2;163;../fake-data/blob/hipster.txt;2021-10-12T13:26:51;2021-10-11T21:29:32;../fake-data/blob/hipster.png;image/png
3;Vitamins;B Complex Nature Made;1;3.5;23;4.3;44;../fake-data/blob/hipster.txt;2021-10-12T14:15:57;2021-10-12T12:36:27;../fake-data/blob/hipster.png;image/png
4;Vitamins;B12 Nature Made;1;5.5;23;6.77;94;../fake-data/blob/hipster.txt;2021-10-12T02:38:54;2021-10-12T04:37:15;../fake-data/blob/hipster.png;image/png
5;Minerals;Magnesium Swanson;1;200;23;246;54;../fake-data/blob/hipster.txt;2021-10-12T04:14:34;2021-10-12T11:48:11;../fake-data/blob/hipster.png;image/png
6;Vitamins;Vitamin A Now Foods;1;1000;23;1230;95;../fake-data/blob/hipster.txt;2021-10-12T04:39:45;2021-10-11T16:58:34;../fake-data/blob/hipster.png;image/png
7;Vitamins;Multi Vitamins Nature Made;1;55.5;23;66.27;120;../fake-data/blob/hipster.txt;2021-10-12T14:31:24;2021-10-12T02:37:45;../fake-data/blob/hipster.png;image/png
8;Minerals;Zinc Align;1;77.7;23;95.57;969;../fake-data/blob/hipster.txt;2021-10-12T12:02:31;2021-10-12T10:23:08;../fake-data/blob/hipster.png;image/png
9;Vitamins;Aloevere Nutriherbs;1;300;23;369;882;../fake-data/blob/hipster.txt;2021-10-11T22:31:58;2021-10-12T00:50:28;../fake-data/blob/hipster.png;image/png
10;Minerals;Selenium Modere;1;813;23;1000;990;../fake-data/blob/hipster.txt;2021-10-11T21:02:40;2021-10-12T01:52:12;../fake-data/blob/hipster.png;image/png
